"","Mercadoria","Vencimento","Preço de ajuste anterior","Preço de ajuste Atual","Variação","Valor do ajuste por contrato (R$)"
"325","IND   - Ibovespa","G20","114.881","115.728","847","847,00"
"326","","J20","115.687","116.544","857","857,00"
"327","","M20","116.506","117.372","866","866,00"
"328","","Q20","117.335","118.210","875","875,00"
"329","","V20","118.256","119.170","914","914,00"
"330","","Z20","119.285","120.229","944","944,00"
"331","","G21","120.326","121.299","973","973,00"
"332","","J21","121.355","122.358","1.003","1.003,00"
"333","","M21","122.547","123.598","1.051","1.051,00"
"334","","Q21","123.878","124.976","1.098","1.098,00"
"335","","V21","125.046","126.179","1.133","1.133,00"
"336","","Z21","126.439","127.605","1.166","1.166,00"
"337","INK   - Contrato Futuro de Indice Nikkei","H20","23.875,00","23.785,00","-90,00","107.704.935,00"
"338","","M20","23.690,00","23.600,00","-90,00","107.704.935,00"
"339","ISP   - S&P 500","Z19","3.194,75","3.207,00","12,25","2.487,42"
"340","","H20","3.200,25","3.211,25","11,00","2.233,60"
"341","","M20","3.199,00","3.211,75","12,75","2.588,95"
"342","","U20","3.195,00","3.208,75","13,75","2.792,00"
"343","","Z20","3.195,00","3.207,50","12,50","2.538,18"
"344","JAP   - IENE JAPONÊS (TIPO A)","F20","109.398,700","109.047,800","-350,900","130,05"
"345","","G20","109.213,560","108.862,807","-350,753","129,99"
"346","","H20","109.049,797","108.702,893","-346,904","128,57"
"347","","J20","108.840,892","108.504,436","-336,456","124,69"
"348","JPY   - Iene","F20","3.711,2400","3.720,5100","9,2700","463,50"
"349","","G20","3.721,9500","3.731,2300","9,2800","464,00"
"350","","H20","3.731,6600","3.741,1500","9,4900","474,50"
"351","","J20","3.744,3700","3.753,9300","9,5600","478,00"
"352","JSE   - Contrato Futuro de Índice BVMF FTSE/JSE TOP 40","Z19","51.508","51.271","-237","94,80"
"353","","H20","52.288","51.886","-402","160,80"
"354","","M20","53.068","51.756","-1.312","524,80"
"355","MEX   - PESO MEXICANO (TIPO A)","F20","19.011,601","18.990,570","-21,031","45,02"
"356","","G20","19.101,081","19.080,421","-20,660","44,23"
"357","","H20","19.175,428","19.158,059","-17,369","37,18"
"358","MIX   - Contrato Futuro de Índice BVMF MICEX","H20","3.035","3.027","-8","36,00"
"359","","M20","3.047","3.033","-14","63,00"
"360","MXN   - Peso mexicano","F20","2.136,9650","2.136,3960","-0,5690","42,67"
"361","","G20","2.128,5750","2.127,9820","-0,5930","44,47"
"362","","H20","2.121,8210","2.121,4310","-0,3900","29,25"
"363","NOK   - COROA NORUEGUESA (TIPO A)","F20","9.009,701","8.968,799","-40,902","184,32"
"364","","G20","9.009,186","8.968,350","-40,836","184,02"
"365","","H20","9.009,119","8.968,339","-40,780","183,77"
"366","NZD   - DÓLAR DA NOVA ZELÂNDIA","F20","2.672,0210","2.683,3510","11,3300","849,75"
"367","","G20","2.676,7730","2.687,6940","10,9210","819,07"
"368","","H20","2.680,3290","2.691,8050","11,4760","860,70"
"369","NZL   - DÓLAR NOVA ZELANDIA (TIPO B)","F20","657,500","660,900","3,400","138,07"
"370","","G20","657,900","661,200","3,300","134,01"
"371","","H20","658,100","661,500","3,400","138,07"
"372","OC1   - Contrato Futuro de OC1","F20","99.863,42","99.863,43","0,01","0,01"
"373","","G20","99.487,52","99.487,90","0,38","0,38"
"374","","H20","99.188,71","99.186,79","-1,92","1,92"
"375","","J20","98.825,69","98.822,86","-2,83","2,83"
"376","","K20","98.496,07","98.491,79","-4,28","4,28"
"377","","M20","98.164,89","98.159,32","-5,57","5,57"
"378","","N20","97.815,89","97.808,37","-7,52","7,52"
"379","","Q20","97.408,06","97.404,05","-4,01","4,01"
"380","","U20","97.049,47","97.032,72","-16,75","16,75"
"381","","V20","96.673,81","96.641,60","-32,21","32,21"
"382","","X20","96.294,56","96.255,21","-39,35","39,35"
"383","","Z20","95.906,32","95.859,43","-46,89","46,89"
"384","","F21","95.482,21","95.426,68","-55,53","55,53"
"385","","J21","94.230,30","94.151,83","-78,47","78,47"
"386","","N21","92.909,14","92.790,52","-118,62","118,62"
"387","","V21","91.444,02","91.292,66","-151,36","151,36"
"388","","F22","89.968,97","89.799,67","-169,30","169,30"
"389","","J22","88.495,61","88.271,40","-224,21","224,21"
"390","","N22","87.060,92","86.816,79","-244,13","244,13"
"391","","V22","85.473,29","85.231,89","-241,40","241,40"
"392","","F23","84.051,51","83.721,72","-329,79","329,79"
"393","","J23","82.545,08","82.194,82","-350,26","350,26"
"394","","N23","81.139,16","80.742,96","-396,20","396,20"
"395","","V23","79.653,25","79.222,53","-430,72","430,72"
"396","","F24","78.275,39","77.810,53","-464,86","464,86"
"397","","J24","76.886,02","76.402,17","-483,85","483,85"
"398","","N24","75.476,36","74.973,75","-502,61","502,61"
"399","","V24","74.061,65","73.539,97","-521,68","521,68"
"400","","F25","72.703,55","72.164,33","-539,22","539,22"
"401","","N25","70.174,36","69.604,04","-570,32","570,32"
